Year	Month	Q_ac_ft_per_month	Q_cms
1905	10	458528	215.1703426
1905	11	401644	188.4767715
1905	12	226871	106.4622243
1906	1	244314	114.6475833
1906	2	292534	137.2754575
1906	3	678174	318.2421398
1906	4	1204640	565.2932895
1906	5	3635101	1705.819334
1906	6	5014167	2352.964336
1906	7	2950460	1384.542468
1906	8	1605086	753.2078836
1906	9	1503159	705.3772877
1906	10	739807	347.1642421
1906	11	503006	236.0422337
1906	12	353312	165.7963397
1907	1	356760	167.4143595
1907	2	377349	177.0760206
1907	3	789130	370.3097137
1907	4	1465838	687.8639137
1907	5	2702179	1268.033318
1907	6	5967232	2800.202722
1907	7	5103491	2394.880807
1907	8	1920787	901.354763
1907	9	955414	448.3406851
1907	10	608812	285.6931018
1907	11	377467	177.1313937
1907	12	268130	125.823557
1908	1	276192	129.6067574
1908	2	379543	178.1055842
1908	3	664762	311.948381
1908	4	1041224	488.6081652
1908	5	1595614	748.7630221
1908	6	2922360	1371.356171
1908	7	1924283	902.9953074
1908	8	1117477	524.3908963
1908	9	598088	280.6607227
1908	10	483627	226.948381
1908	11	395707	185.6907555
1908	12	312145	146.4781793
1909	1	378989	177.8456124
1909	2	317458	148.9713749
1909	3	763721	358.3862037
1909	4	1120492	525.805725
1909	5	3349297	1571.702018
1909	6	7203254	3380.222431
1909	7	4109919	1928.633975
1909	8	1880422	882.4129517
1909	9	1526396	716.281558
1909	10	680646	319.4021586
1909	11	489990	229.9343031
1909	12	377548	177.169404
1910	1	289322	135.768184
1910	2	493565	231.6119193
1910	3	1403871	658.7850774
1910	4	1730475	812.0483341
1910	5	3298793	1548.002346
1910	6	3101705	1455.51619
1910	7	1373125	644.3571093
1910	8	866631	406.6780854
1910	9	630999	296.1046457
1910	10	616468	289.2857813
1910	11	445769	209.1830127
1910	12	345922	162.3284843
1911	1	367374	172.3951197
1911	2	482597	226.4650399
1911	3	902111	423.3275458
1911	4	951815	446.6518067
1911	5	2924637	1372.424683
1911	6	4124342	1935.402159
1911	7	2353784	1104.544345
1911	8	1016615	477.0600657
1911	9	593647	278.5767245
1911	10	1138004	534.0234632
1911	11	442055	207.4401689
1911	12	353041	165.6691694
1912	1	346041	162.3843266
1912	2	327037	153.4664477
1912	3	538143	252.5307367
1912	4	902408	423.4669169
1912	5	3684152	1728.837166
1912	6	6151096	2886.483341
1912	7	3206236	1504.568747
1912	8	1362372	639.3111215
1912	9	631542	296.3594557
1912	10	636273	298.5795401
1912	11	533066	250.1482872
1912	12	305039	143.1435946
1913	1	354040	166.1379634
1913	2	314036	147.3655561
1913	3	523341	245.584702
1913	4	1829662	858.5931488
1913	5	3270773	1534.85359
1913	6	3144987	1475.826842
1913	7	1984477	931.2421398
1913	8	874871	410.5448146
1913	9	701627	329.247771
1913	10	670352	314.5715626
1913	11	538369	252.6367902
1913	12	329845	154.7841389
1914	1	369539	173.4110746
1914	2	401134	188.2374472
1914	3	876055	411.1004223
1914	4	1593815	747.9188175
1914	5	4685651	2198.803848
1914	6	6296012	2954.487095
1914	7	3116693	1462.549507
1914	8	1405438	659.520413
1914	9	783864	367.8385734
1914	10	964927	452.8047865
1914	11	527355	247.4683247
1914	12	334330	156.8887846
1915	1	304134	142.7189113
1915	2	397336	186.4551854
1915	3	525839	246.7569216
1915	4	1483872	696.3266072
1915	5	2427137	1138.966213
1915	6	3642472	1709.278273
1915	7	2147795	1007.881276
1915	8	853538	400.5340216
1915	9	528868	248.17832
1915	10	557983	261.8409198
1915	11	411050	192.8906617
1915	12	343248	161.0736743
1916	1	393996	184.8878461
1916	2	424367	199.1398405
1916	3	1391402	652.9338339
1916	4	1802735	845.957297
1916	5	3736188	1753.255748
1916	6	4752149	2230.008916
1916	7	2633061	1235.59878
1916	8	1931864	906.5527921
1916	9	809499	379.868137
1916	10	1402792	658.2787424
1916	11	495715	232.6208353
1916	12	369117	173.2130455
1917	1	260297	122.1478179
1917	2	351858	165.114031
1917	3	506892	237.8657907
1917	4	1545288	725.1468794
1917	5	3763312	1765.984045
1917	6	7772051	3647.137963
1917	7	4940893	2318.57954
1917	8	1618992	759.7334585
1917	9	822052	385.7587987
1917	10	510346	239.486626
1917	11	448052	210.2543407
1917	12	402771	189.0056312
1918	1	356293	167.1952135
1918	2	373570	175.3026748
1918	3	655998	307.8357579
1918	4	901047	422.8282496
1918	5	2760606	1295.450962
1918	6	5393082	2530.775223
1918	7	2288860	1074.077898
1918	8	968226	454.352886
1918	9	691873	324.6705772
1918	10	569909	267.4373534
1918	11	496385	232.9352417
1918	12	410088	192.4392304
1919	1	287188	134.7667762
1919	2	316951	148.7334585
1919	3	653288	306.5640544
1919	4	1414719	663.8756452
1919	5	3231443	1516.397466
1919	6	2597757	1219.03191
1919	7	1537304	721.4002816
1919	8	904499	424.4481464
1919	9	531938	249.6189582
1919	10	377401	177.1004223
1919	11	404787	189.9516659
1919	12	394092	184.9328954
1920	1	406940	190.9619897
1920	2	601644	282.3294228
1920	3	685472	321.6668231
1920	4	983984	461.7475364
1920	5	5917499	2776.864852
1920	6	6993901	3281.98076
1920	7	3165232	1485.327076
1920	8	1376497	645.939465
1920	9	620527	291.1905209
1920	10	534996	251.0539653
1920	11	596367	279.8531206
1920	12	404572	189.8507743
1921	1	414071	194.308306
1921	2	456635	214.2820272
1921	3	943676	442.832473
1921	4	930238	436.5265134
1921	5	4180109	1961.571563
1921	6	8467231	3973.360394
1921	7	2849389	1337.113562
1921	8	1972571	925.6550915
1921	9	953215	447.3087752
1921	10	477741	224.1862975
1921	11	410812	192.778977
1921	12	458713	215.2571563
1922	1	354102	166.1670577
1922	2	429948	201.7587987
1922	3	867877	407.2627874
1922	4	1224473	574.6001877
1922	5	4874849	2287.587518
1922	6	5624070	2639.169404
1922	7	2096584	983.8498358
1922	8	1087967	510.5429376
1922	9	617284	289.6687001
1922	10	327500	153.6837166
1922	11	391261	183.6044111
1922	12	400862	188.1098076
1923	1	369732	173.5016424
1923	2	336029	157.6860629
1923	3	427753	200.7287658
1923	4	1296746	608.5152511
1923	5	4029114	1890.715157
1923	6	5099406	2392.963867
1923	7	2998439	1407.05725
1923	8	1664755	781.2083529
1923	9	985871	462.6330361
1923	10	731926	343.4659784
1923	11	632012	296.5800094
1923	12	425855	199.8381042
1924	1	314158	147.4228062
1924	2	490542	230.1933365
1924	3	496310	232.9000469
1924	4	1658525	778.2848428
1924	5	3384372	1588.161427
1924	6	3828658	1796.648522
1924	7	1628866	764.3669639
1924	8	680819	319.4833412
1924	9	378899	177.8033787
1924	10	389461	182.7597372
1924	11	397899	186.7193806
1924	12	280177	131.4767715
1925	1	266334	124.9807602
1925	2	391292	183.6189582
1925	3	594432	278.9450962
1925	4	1469823	689.7339277
1925	5	2624348	1231.510089
1925	6	2913545	1367.219615
1925	7	2042150	958.3059596
1925	8	1005794	471.982168
1925	9	1139183	534.5767245
1925	10	998383	468.504458
1925	11	604169	283.5143125
1925	12	456166	214.0619427
1926	1	367550	172.47771
1926	2	360767	169.2946973
1926	3	616477	289.2900047
1926	4	1722211	808.1703426
1926	5	3686355	1729.870953
1926	6	4132000	1938.995777
1926	7	1937082	909.0014078
1926	8	916457	430.0595964
1926	9	451009	211.6419521
1926	10	465656	218.5152511
1926	11	339146	159.1487565
1926	12	383708	180.0600657
1927	1	341604	160.3022055
1927	2	390123	183.0703895
1927	3	606873	284.7832004
1927	4	1369061	642.4500235
1927	5	4348392	2040.540591
