# SIMULATION: wb
# MODEL_VERSION: 5.0.1
YEAR	MONTH	DAY	OUT_EVAP	 OUT_RUNOFF	 OUT_BASEFLOW	 OUT_PREC	 OUT_EVAP_CANOP	 OUT_TRANSP_VEG	 OUT_EVAP_BARE	 OUT_SUB_CANOP	 OUT_SUB_SNOW	 OUT_WDEW	 OUT_SOIL_MOIST_0	 OUT_SOIL_MOIST_1	 OUT_SOIL_MOIST_2	 OUT_SWE
2000	10	01	1.0550	 0.0033	 0.1524	 0.1248	 0.0595	 1.0213	 0.0000	 -0.0370	 0.0111	 0.0298	 21.2374	 63.7523	 213.8787	 0.0000
2000	10	02	1.3348	 0.0016	 0.1521	 0.0744	 0.0372	 1.2792	 0.0000	 0.0115	 0.0069	 0.0186	 20.9842	 63.1286	 213.3527	 0.0000
2000	10	03	1.2618	 0.0044	 0.1518	 0.3000	 0.1258	 1.0911	 0.0000	 0.0185	 0.0264	 0.0629	 20.8276	 62.6083	 212.8672	 0.0000
2000	10	04	1.8456	 0.3402	 0.1514	 7.2744	 0.8065	 1.0391	 0.0000	 0.0000	 0.0000	 0.2520	 26.3934	 62.2380	 212.4199	 0.0000
2000	10	05	0.5710	 0.2489	 0.1512	 4.8504	 0.2373	 0.0064	 0.0000	 0.1525	 0.1747	 0.2520	 29.4733	 63.1671	 212.2902	 0.0000
2000	10	06	0.5452	 0.0149	 0.1510	 0.0240	 0.0088	 0.5300	 0.0000	 0.0036	 0.0028	 0.0060	 27.8147	 64.6405	 212.0342	 0.0000
2000	10	07	1.0042	 0.0000	 0.1508	 0.0000	 0.0060	 0.9982	 0.0000	 0.0000	 0.0000	 0.0000	 26.6762	 64.9995	 211.6646	 0.0000
2000	10	08	1.0655	 0.0072	 0.1506	 0.4008	 0.1582	 0.8644	 0.0000	 0.0070	 0.0358	 0.0791	 26.0062	 65.0989	 211.3337	 0.0000
2000	10	09	0.9018	 0.0068	 0.1504	 0.1992	 0.0881	 0.7853	 0.0000	 0.0100	 0.0184	 0.0440	 25.4907	 65.0974	 211.0259	 0.0000
2000	10	10	0.3672	 0.0102	 0.1502	 0.4992	 0.1493	 0.0908	 0.0000	 0.0642	 0.0629	 0.0949	 25.2942	 65.3396	 210.9009	 0.0000
2000	10	11	1.2083	 0.0547	 0.1501	 1.6248	 0.4175	 0.6275	 0.0000	 0.0006	 0.1627	 0.2161	 25.6540	 65.3334	 210.6379	 0.0000
2000	10	12	1.0966	 0.0320	 0.1499	 0.8496	 0.2799	 0.7182	 0.0000	 0.0127	 0.0858	 0.1400	 25.5803	 65.3386	 210.3537	 0.0000
2000	10	13	0.8375	 0.0000	 0.1497	 0.0000	 0.1400	 0.6976	 0.0000	 0.0000	 0.0000	 0.0000	 25.0488	 65.3003	 210.0763	 0.0000
2000	10	14	0.5083	 0.0000	 0.1495	 0.0000	 0.0000	 0.5083	 0.0000	 0.0000	 0.0000	 0.0000	 24.6435	 65.2761	 209.8480	 0.0000
2000	10	15	0.6658	 0.0000	 0.1493	 0.0000	 0.0000	 0.6658	 0.0000	 0.0000	 0.0000	 0.0000	 24.2464	 65.1228	 209.5831	 0.0000
2000	10	16	0.7289	 0.0000	 0.1491	 0.0000	 0.0000	 0.7289	 0.0000	 0.0000	 0.0000	 0.0000	 23.9240	 64.8895	 209.2609	 0.0000
2000	10	17	0.7273	 0.0000	 0.1489	 0.0000	 0.0000	 0.7273	 0.0000	 0.0000	 0.0000	 0.0000	 23.6292	 64.6304	 208.9386	 0.0000
2000	10	18	0.8547	 0.0000	 0.1486	 0.0000	 0.0000	 0.8547	 0.0000	 0.0000	 0.0000	 0.0000	 23.3300	 64.2892	 208.5757	 0.0000
2000	10	19	0.9020	 0.0000	 0.1484	 0.0000	 0.0000	 0.9020	 0.0000	 0.0000	 0.0000	 0.0000	 23.0386	 63.9084	 208.1975	 0.0000
2000	10	20	0.8229	 0.0000	 0.1481	 0.0000	 0.0000	 0.8229	 0.0000	 0.0000	 0.0000	 0.0000	 22.7788	 63.5502	 207.8445	 0.0000
2000	10	21	0.8219	 0.0000	 0.1479	 0.0000	 0.0000	 0.8219	 0.0000	 0.0000	 0.0000	 0.0000	 22.5245	 63.1923	 207.4869	 0.0000
2000	10	22	0.8750	 0.0719	 0.1477	 2.4000	 0.4116	 0.0332	 0.0000	 0.0278	 0.4024	 0.2520	 23.6685	 63.2183	 207.3703	 0.0000
2000	10	23	0.6366	 0.3346	 0.1476	 7.9488	 0.0000	 0.0022	 0.0000	 0.2417	 0.3927	 0.0058	 28.7178	 63.5635	 207.2604	 0.7700
2000	10	24	0.3610	 0.4129	 0.1475	 5.9760	 0.1793	 0.0044	 0.0000	 0.0536	 0.1237	 0.2520	 32.2099	 66.2285	 207.1617	 0.5417
2000	10	25	0.6900	 0.0806	 0.1474	 1.2744	 0.0000	 0.0349	 0.0000	 0.1070	 0.5482	 0.0000	 29.5903	 69.9121	 207.1188	 0.0000
2000	10	26	0.0801	 0.0057	 0.1474	 0.0000	 0.0000	 0.0410	 0.0000	 0.0000	 0.0391	 0.0000	 27.9069	 71.4769	 207.1331	 0.0000
2000	10	27	0.6736	 0.0603	 0.1474	 1.8000	 0.2186	 0.0071	 0.0000	 0.0050	 0.4429	 0.2333	 27.7235	 72.2936	 207.1851	 0.0000
2000	10	28	0.5442	 0.2133	 0.1475	 3.6504	 0.2280	 0.0054	 0.0000	 0.0691	 0.2417	 0.2520	 29.3677	 73.3003	 207.2610	 0.0000
2000	10	29	1.0018	 0.0969	 0.1476	 2.4504	 0.0000	 0.0033	 0.0000	 0.1824	 0.8161	 0.0000	 28.8193	 74.8739	 207.3922	 0.0000
2000	10	30	0.4269	 0.0711	 0.1477	 1.3248	 0.0000	 0.0000	 0.0000	 0.0251	 0.4018	 0.0000	 28.3016	 75.9892	 207.5900	 0.0000
2000	10	31	0.2104	 0.1467	 0.1478	 5.0256	 0.0000	 0.0000	 0.0000	 0.0643	 0.1461	 0.0000	 28.7040	 77.0166	 207.8379	 1.5201
2000	11	01	0.7306	 0.0000	 0.1480	 6.4992	 0.0000	 0.0000	 0.0000	 0.1849	 0.5456	 0.0000	 27.3721	 77.8720	 208.1663	 7.4886
2000	11	02	0.0297	 0.0000	 0.1483	 1.5744	 0.0000	 0.0000	 0.0000	 0.0156	 0.0141	 0.0000	 26.6012	 78.1214	 208.5395	 9.0489
2000	11	03	0.0698	 0.0000	 0.1485	 0.0000	 0.0000	 0.0000	 0.0000	 -0.0073	 0.0771	 0.0000	 26.0540	 78.1412	 208.9185	 9.1667
2000	11	04	-0.0086	 0.0000	 0.1488	 11.1000	 0.0000	 0.0000	 0.0000	 -0.0062	 -0.0024	 0.0000	 25.6302	 78.0476	 209.2871	 20.1450
2000	11	05	1.0175	 0.0553	 0.1491	 13.9248	 0.0000	 0.0000	 0.0000	 0.1724	 0.8451	 0.0000	 25.8976	 77.9549	 209.6383	 32.1320
2000	11	06	0.1534	 0.0000	 0.1493	 4.5504	 0.0000	 0.0000	 0.0000	 0.0613	 0.0921	 0.0000	 25.4446	 77.9124	 209.9845	 36.5548
2000	11	07	0.0756	 0.0000	 0.1496	 0.1752	 0.0000	 0.0000	 0.0000	 0.0312	 0.0443	 0.0000	 25.1005	 77.7689	 210.3225	 36.6835
2000	11	08	0.0056	 0.0000	 0.1498	 0.4992	 0.0000	 0.0000	 0.0000	 0.0012	 0.0045	 0.0000	 24.8191	 77.5790	 210.6441	 37.1697
2000	11	09	0.4325	 0.0000	 0.1500	 1.9248	 0.0000	 0.0000	 0.0000	 0.0770	 0.3555	 0.0000	 24.5795	 77.3663	 210.9463	 38.7125
2000	11	10	0.3441	 0.0000	 0.1502	 9.4008	 0.0000	 0.0000	 0.0000	 0.0794	 0.2647	 0.0000	 24.3703	 77.1431	 211.2286	 47.7413
2000	11	11	0.0318	 0.0000	 0.1504	 8.3760	 0.0000	 0.0000	 0.0000	 0.0146	 0.0172	 0.0000	 24.1844	 76.9160	 211.4911	 56.0783
2000	11	12	0.1359	 0.0000	 0.1506	 3.8256	 0.0000	 0.0000	 0.0000	 0.0471	 0.0888	 0.0000	 24.0170	 76.6890	 211.7349	 59.8019
2000	11	13	0.0832	 0.0000	 0.1508	 1.2744	 0.0000	 0.0000	 0.0000	 0.0291	 0.0541	 0.0000	 23.8647	 76.4644	 211.9610	 61.0101
2000	11	14	0.0461	 0.0000	 0.1509	 6.1512	 0.0000	 0.0000	 0.0000	 0.0182	 0.0278	 0.0000	 23.7250	 76.2436	 212.1705	 67.0948
2000	11	15	0.4283	 0.0000	 0.1511	 4.6512	 0.0000	 0.0000	 0.0000	 0.1023	 0.3260	 0.0000	 23.5960	 76.0275	 212.3646	 71.3910
2000	11	16	0.1323	 0.0000	 0.1512	 0.4992	 0.0000	 0.0000	 0.0000	 0.0366	 0.0957	 0.0000	 23.4762	 75.8165	 212.5443	 71.7846
2000	11	17	0.0744	 0.0000	 0.1513	 1.0512	 0.0000	 0.0000	 0.0000	 0.0298	 0.0446	 0.0000	 23.3642	 75.6108	 212.7106	 72.7667
2000	11	18	0.0803	 0.0000	 0.1514	 0.6240	 0.0000	 0.0000	 0.0000	 0.0280	 0.0523	 0.0000	 23.2593	 75.4104	 212.8644	 73.3227
2000	11	19	0.2027	 0.0000	 0.1516	 0.0000	 0.0000	 0.0000	 0.0000	 0.0140	 0.1887	 0.0000	 23.1606	 75.2154	 213.0066	 73.1498
2000	11	20	0.0389	 0.0000	 0.1517	 0.1008	 0.0000	 0.0000	 0.0000	 0.0181	 0.0209	 0.0000	 23.0673	 75.0257	 213.1380	 73.2204
2000	11	21	0.0546	 0.0000	 0.1517	 0.0504	 0.0000	 0.0000	 0.0000	 0.0286	 0.0260	 0.0000	 22.9790	 74.8411	 213.2591	 73.2406
2000	11	22	-0.0079	 0.0000	 0.1518	 0.0000	 0.0000	 0.0000	 0.0000	 -0.0120	 0.0041	 0.0000	 22.8951	 74.6615	 213.3708	 73.2413
2000	11	23	0.0283	 0.0000	 0.1519	 0.0000	 0.0000	 0.0000	 0.0000	 -0.0036	 0.0319	 0.0000	 22.8152	 74.4867	 213.4736	 73.2094
2000	11	24	0.0999	 0.0000	 0.1520	 0.6240	 0.0000	 0.0000	 0.0000	 0.0450	 0.0549	 0.0000	 22.7390	 74.3165	 213.5680	 73.7489
2000	11	25	0.0247	 0.0000	 0.1520	 0.4752	 0.0000	 0.0000	 0.0000	 0.0092	 0.0155	 0.0000	 22.6662	 74.1508	 213.6545	 74.1812
2000	11	26	0.1645	 0.0000	 0.1521	 0.6504	 0.0000	 0.0000	 0.0000	 0.0394	 0.1251	 0.0000	 22.5964	 73.9894	 213.7336	 74.6800
2000	11	27	0.0164	 0.0000	 0.1522	 0.4008	 0.0000	 0.0000	 0.0000	 0.0036	 0.0128	 0.0000	 22.5295	 73.8321	 213.8057	 75.0520
2000	11	28	0.0536	 0.0000	 0.1522	 0.0000	 0.0000	 0.0000	 0.0000	 0.0013	 0.0523	 0.0000	 22.4651	 73.6787	 213.8711	 75.0162
2000	11	29	0.0634	 0.0000	 0.1522	 0.0000	 0.0000	 0.0000	 0.0000	 0.0076	 0.0558	 0.0000	 22.4033	 73.5292	 213.9303	 74.9604
2000	11	30	0.6932	 0.0000	 0.1523	 0.0240	 0.0000	 0.0000	 0.0000	 0.1423	 0.5509	 0.0000	 22.3436	 73.3833	 213.9836	 74.4315
2000	12	01	0.0595	 0.0000	 0.1523	 0.0240	 0.0000	 0.0000	 0.0000	 0.0150	 0.0445	 0.0000	 22.2861	 73.2408	 214.0312	 74.4074
2000	12	02	0.0246	 0.0000	 0.1524	 0.0000	 0.0000	 0.0000	 0.0000	 -0.0004	 0.0250	 0.0000	 22.2305	 73.1018	 214.0735	 74.3828
2000	12	03	0.1009	 0.0000	 0.1524	 0.0000	 0.0000	 0.0000	 0.0000	 0.0268	 0.0741	 0.0000	 22.1768	 72.9659	 214.1107	 74.3087
2000	12	04	0.0191	 0.0000	 0.1524	 0.0000	 0.0000	 0.0000	 0.0000	 -0.0027	 0.0218	 0.0000	 22.1248	 72.8331	 214.1431	 74.2869
2000	12	05	0.3836	 0.0000	 0.1524	 0.1008	 0.0000	 0.0000	 0.0000	 0.0974	 0.2862	 0.0000	 22.0744	 72.7033	 214.1709	 74.0865
2000	12	06	0.0665	 0.0000	 0.1524	 0.1992	 0.0000	 0.0000	 0.0000	 0.0217	 0.0448	 0.0000	 22.0255	 72.5764	 214.1942	 74.2113
2000	12	07	0.1451	 0.0000	 0.1525	 0.3744	 0.0000	 0.0000	 0.0000	 0.0542	 0.0910	 0.0000	 21.9781	 72.4522	 214.2134	 74.4493
2000	12	08	0.0322	 0.0000	 0.1525	 9.9240	 0.0000	 0.0000	 0.0000	 0.0134	 0.0188	 0.0000	 21.9320	 72.3306	 214.2286	 84.0596
2000	12	09	0.3219	 0.0000	 0.1525	 8.8008	 0.0000	 0.0000	 0.0000	 0.0525	 0.2693	 0.0000	 21.8872	 72.2116	 214.2399	 92.5641
2000	12	10	0.6618	 0.0000	 0.1525	 25.6752	 0.0000	 0.0000	 0.0000	 0.1251	 0.5367	 0.0000	 21.8436	 72.0950	 214.2476	 117.6222
2000	12	11	0.6312	 0.0000	 0.1525	 19.3248	 0.0000	 0.0000	 0.0000	 0.1201	 0.5111	 0.0000	 21.8012	 71.9808	 214.2517	 136.3385
2000	12	12	0.1089	 0.0000	 0.1525	 10.0992	 0.0000	 0.0000	 0.0000	 0.0104	 0.0985	 0.0000	 21.7599	 71.8688	 214.2525	 146.3020
2000	12	13	0.1609	 0.0000	 0.1525	 8.5248	 0.0000	 0.0000	 0.0000	 0.0236	 0.1374	 0.0000	 21.7196	 71.7590	 214.2500	 154.6787
2000	12	14	0.3373	 0.0000	 0.1525	 8.5752	 0.0000	 0.0000	 0.0000	 0.0476	 0.2898	 0.0000	 21.6803	 71.6514	 214.2445	 162.9327
2000	12	15	0.6534	 0.0000	 0.1525	 19.3512	 0.0000	 0.0000	 0.0000	 0.1167	 0.5367	 0.0000	 21.6420	 71.5458	 214.2359	 181.6739
2000	12	16	0.6843	 0.0000	 0.1525	 10.7760	 0.0000	 0.0000	 0.0000	 0.1207	 0.5636	 0.0000	 21.6046	 71.4421	 214.2245	 191.7672
2000	12	17	0.5143	 0.0000	 0.1525	 2.7744	 0.0000	 0.0000	 0.0000	 0.0891	 0.4252	 0.0000	 21.5680	 71.3404	 214.2104	 194.0535
2000	12	18	0.2764	 0.0000	 0.1525	 1.4256	 0.0000	 0.0000	 0.0000	 0.0710	 0.2053	 0.0000	 21.5323	 71.2405	 214.1935	 195.2217
2000	12	19	0.2708	 0.0000	 0.1525	 3.6240	 0.0000	 0.0000	 0.0000	 0.0496	 0.2213	 0.0000	 21.4973	 71.1424	 214.1742	 198.5291
2000	12	20	0.3809	 0.0000	 0.1524	 2.4744	 0.0000	 0.0000	 0.0000	 0.0771	 0.3037	 0.0000	 21.4631	 71.0460	 214.1523	 200.6474
2000	12	21	0.0744	 0.0000	 0.1524	 0.0000	 0.0000	 0.0000	 0.0000	 0.0054	 0.0690	 0.0000	 21.4296	 70.9512	 214.1281	 200.6534
2000	12	22	0.2999	 0.0000	 0.1524	 0.0000	 0.0000	 0.0000	 0.0000	 0.0091	 0.2908	 0.0000	 21.3969	 70.8581	 214.1016	 200.3626
2000	12	23	0.0465	 0.0000	 0.1524	 0.0000	 0.0000	 0.0000	 0.0000	 -0.0057	 0.0522	 0.0000	 21.3648	 70.7666	 214.0728	 200.3104
2000	12	24	0.0629	 0.0000	 0.1524	 3.9000	 0.0000	 0.0000	 0.0000	 0.0143	 0.0486	 0.0000	 21.3333	 70.6765	 214.0420	 204.0158
2000	12	25	0.1338	 0.0000	 0.1523	 2.6256	 0.0000	 0.0000	 0.0000	 0.0459	 0.0880	 0.0000	 21.3025	 70.5880	 214.0090	 206.5289
2000	12	26	0.0693	 0.0000	 0.1523	 0.0000	 0.0000	 0.0000	 0.0000	 0.0052	 0.0641	 0.0000	 21.2722	 70.5008	 213.9741	 206.5419
2000	12	27	0.0415	 0.0000	 0.1523	 0.0000	 0.0000	 0.0000	 0.0000	 -0.0013	 0.0428	 0.0000	 21.2426	 70.4150	 213.9372	 206.4991
2000	12	28	0.0541	 0.0000	 0.1523	 0.0000	 0.0000	 0.0000	 0.0000	 -0.0038	 0.0579	 0.0000	 21.2135	 70.3306	 213.8985	 206.4412
